#asicid/I:asicch/I:detid/I:stripid/I:material/I:posx/F:posy/F:posz/F:widthx/F:widthy/F:widthz/F:badch/I:ethre/F:	     
1 34 12 1073 1 3.625 0.0 -16.0 0.25 -1 0.75 0 5.0	8.756e-01 1.082e+00 -4.062e-04 -3.676e-08 1.487e-09 -1.279e-12
1 36 12 1074 1 3.375 0.0 -16.0 0.25 -1 0.75 0 5.0	2.148e+00 1.117e+00 -1.790e-03 1.144e-05 -2.475e-08 1.678e-11
1 38 12 1075 1 3.125 0.0 -16.0 0.25 -1 0.75 0 5.0	6.495e-01 1.091e+00 -8.409e-04 5.047e-06 -1.022e-08 6.107e-12
1 40 12 1076 1 2.875 0.0 -16.0 0.25 -1 0.75 0 5.0	-7.949e-01 1.056e+00 7.333e-05 1.346e-06 -5.136e-09 3.958e-12
1 42 12 1077 1 2.625 0.0 -16.0 0.25 -1 0.75 0 5.0	4.194e-01 1.063e+00 -5.056e-04 4.344e-06 -1.028e-08 6.906e-12
1 44 12 1078 1 2.375 0.0 -16.0 0.25 -1 0.75 0 5.0	1.061e+00 1.047e+00 -5.893e-04 6.961e-06 -1.927e-08 1.518e-11
1 46 12 1079 1 2.125 0.0 -16.0 0.25 -1 0.75 0 5.0	1.728e+00 1.021e+00 -7.310e-04 1.095e-05 -3.318e-08 2.816e-11
1 48 12 1080 1 1.875 0.0 -16.0 0.25 -1 0.75 0 5.0	-5.836e-01 1.074e+00 -3.490e-05 1.580e-06 -5.495e-09 4.262e-12
1 50 12 1081 1 1.625 0.0 -16.0 0.25 -1 0.75 0 5.0	-5.380e-01 1.074e+00 -4.293e-05 1.764e-06 -6.026e-09 4.736e-12
1 52 12 1082 1 1.375 0.0 -16.0 0.25 -1 0.75 0 5.0	1.034e+00 1.079e+00 -6.816e-04 3.061e-06 -5.447e-09 3.038e-12
1 54 12 1083 1 1.125 0.0 -16.0 0.25 -1 0.75 0 5.0	7.403e-01 1.124e+00 -1.097e-03 5.920e-06 -1.150e-08 6.763e-12
1 56 12 1084 1 0.875 0.0 -16.0 0.25 -1 0.75 0 5.0	1.131e+00 1.125e+00 -1.260e-03 6.841e-06 -1.342e-08 8.153e-12
1 58 12 1085 1 0.625 0.0 -16.0 0.25 -1 0.75 0 5.0	5.351e-01 1.067e+00 -5.019e-04 4.135e-06 -9.984e-09 6.870e-12
1 60 12 1086 1 0.375 0.0 -16.0 0.25 -1 0.75 0 5.0	3.076e-01 1.054e+00 -3.163e-04 3.166e-06 -7.784e-09 5.147e-12
1 62 12 1087 1 0.125 0.0 -16.0 0.25 -1 0.75 0 5.0	1.796e+00 1.127e+00 -1.335e-03 5.558e-06 -9.130e-09 5.098e-12
2 0 12 1088 1 -0.125 0.0 -16.0 0.25 -1 0.75 0 5.0	2.709e+00 1.091e+00 -2.055e-03 1.209e-05 -2.482e-08 1.621e-11
2 2 12 1089 1 -0.375 0.0 -16.0 0.25 -1 0.75 0 5.0	1.012e+00 1.093e+00 -1.303e-03 6.481e-06 -1.194e-08 6.880e-12
2 4 12 1090 1 -0.625 0.0 -16.0 0.25 -1 0.75 0 5.0	2.577e+00 1.051e+00 -1.504e-03 1.021e-05 -2.670e-08 2.297e-11
2 6 12 1091 1 -0.875 0.0 -16.0 0.25 -1 0.75 0 5.0	4.099e+00 1.017e+00 -2.256e-03 2.167e-05 -5.738e-08 4.542e-11
2 8 12 1092 1 -1.125 0.0 -16.0 0.25 -1 0.75 0 5.0	3.516e+00 9.873e-01 -1.733e-03 1.818e-05 -4.620e-08 3.376e-11
2 10 12 1093 1 -1.375 0.0 -16.0 0.25 -1 0.75 0 5.0	8.796e-02 1.037e+00 -6.362e-04 5.022e-06 -1.100e-08 6.778e-12
2 12 12 1094 1 -1.625 0.0 -16.0 0.25 -1 0.75 0 5.0	4.998e+00 1.109e+00 -3.127e-03 1.819e-05 -3.103e-08 1.564e-11
2 14 12 1095 1 -1.875 0.0 -16.0 0.25 -1 0.75 0 5.0	2.048e+00 9.837e-01 -8.833e-04 9.339e-06 -2.466e-08 1.898e-11
2 16 12 1096 1 -2.125 0.0 -16.0 0.25 -1 0.75 0 5.0	1.357e+00 1.079e+00 -1.310e-03 6.607e-06 -1.184e-08 6.575e-12
2 18 12 1097 1 -2.375 0.0 -16.0 0.25 -1 0.75 0 5.0	1.502e+00 1.077e+00 -1.382e-03 7.206e-06 -1.317e-08 7.483e-12
2 20 12 1098 1 -2.625 0.0 -16.0 0.25 -1 0.75 0 5.0	6.014e-01 1.049e+00 -7.679e-04 4.692e-06 -9.271e-09 5.360e-12
2 22 12 1099 1 -2.875 0.0 -16.0 0.25 -1 0.75 0 5.0	4.248e+00 9.916e-01 -2.194e-03 2.344e-05 -6.420e-08 5.196e-11
2 24 12 1100 1 -3.125 0.0 -16.0 0.25 -1 0.75 0 5.0	-4.747e-01 9.934e-01 9.108e-05 1.293e-06 -4.444e-09 3.161e-12
2 26 12 1101 1 -3.375 0.0 -16.0 0.25 -1 0.75 0 5.0	1.736e+00 1.065e+00 -1.151e-03 4.597e-06 -7.275e-09 3.832e-12
2 28 12 1102 1 -3.625 0.0 -16.0 0.25 -1 0.75 0 5.0	1.944e+00 1.109e+00 -1.864e-03 9.094e-06 -1.638e-08 9.474e-12
2 30 12 1103 1 -3.875 0.0 -16.0 0.25 -1 0.75 0 5.0	2.406e+00 9.744e-01 -1.010e-03 1.232e-05 -3.495e-08 2.860e-11
2 32 12 1104 1 -4.125 0.0 -16.0 0.25 -1 0.75 0 5.0	1.395e+00 1.077e+00 -1.335e-03 7.112e-06 -1.306e-08 7.389e-12
2 34 12 1105 1 -4.375 0.0 -16.0 0.25 -1 0.75 0 5.0	-2.792e-01 9.788e-01 7.266e-05 1.415e-06 -4.653e-09 3.262e-12
2 36 12 1106 1 -4.625 0.0 -16.0 0.25 -1 0.75 0 5.0	1.809e+00 9.824e-01 -7.965e-04 9.392e-06 -2.527e-08 1.947e-11
2 38 12 1107 1 -4.875 0.0 -16.0 0.25 -1 0.75 0 5.0	4.436e+00 8.988e-01 -1.548e-03 3.100e-05 -1.378e-07 1.830e-10
2 40 12 1108 1 -5.125 0.0 -16.0 0.25 -1 0.75 0 5.0	2.172e+00 1.094e+00 -1.593e-03 6.564e-06 -1.031e-08 5.338e-12
2 42 12 1109 1 -5.375 0.0 -16.0 0.25 -1 0.75 0 5.0	2.134e+00 1.092e+00 -1.590e-03 6.406e-06 -1.003e-08 5.159e-12
2 44 12 1110 1 -5.625 0.0 -16.0 0.25 -1 0.75 0 5.0	3.165e+00 9.975e-01 -1.541e-03 1.567e-05 -4.358e-08 3.617e-11
2 46 12 1111 1 -5.875 0.0 -16.0 0.25 -1 0.75 0 5.0	4.304e-01 1.024e+00 -5.036e-04 3.454e-06 -7.254e-09 4.302e-12
2 48 12 1112 1 -6.125 0.0 -16.0 0.25 -1 0.75 0 5.0	2.015e+00 1.064e+00 -1.268e-03 5.297e-06 -8.306e-09 4.105e-12
2 50 12 1113 1 -6.375 0.0 -16.0 0.25 -1 0.75 0 5.0	6.400e-01 1.041e+00 -8.263e-04 5.634e-06 -1.188e-08 7.326e-12
2 52 12 1114 1 -6.625 0.0 -16.0 0.25 -1 0.75 0 5.0	4.924e+00 1.076e+00 -2.947e-03 1.985e-05 -3.776e-08 2.154e-11
2 54 12 1115 1 -6.875 0.0 -16.0 0.25 -1 0.75 0 5.0	2.050e+00 9.822e-01 -8.800e-04 9.833e-06 -2.640e-08 2.041e-11
2 56 12 1116 1 -7.125 0.0 -16.0 0.25 -1 0.75 0 5.0	4.054e+00 1.086e+00 -2.704e-03 1.841e-05 -4.139e-08 2.907e-11
2 58 12 1117 1 -7.375 0.0 -16.0 0.25 -1 0.75 0 5.0	1.561e-01 9.885e-01 -1.345e-04 2.643e-06 -7.318e-09 5.213e-12
2 60 12 1118 1 -7.625 0.0 -16.0 0.25 -1 0.75 0 5.0	1.162e+00 1.050e+00 -9.880e-04 5.387e-06 -1.013e-08 5.792e-12
2 62 12 1119 1 -7.875 0.0 -16.0 0.25 -1 0.75 0 5.0	1.020e+00 1.046e+00 -9.476e-04 5.702e-06 -1.148e-08 6.969e-12
3 0 12 1120 1 -8.125 0.0 -16.0 0.25 -1 0.75 0 5.0	1.575e+00 1.126e+00 -1.396e-03 1.003e-05 -2.348e-08 1.684e-11
3 2 12 1121 1 -8.375 0.0 -16.0 0.25 -1 0.75 0 5.0	9.188e-01 1.133e+00 -8.286e-04 3.445e-06 -6.788e-09 4.471e-12
3 4 12 1122 1 -8.625 0.0 -16.0 0.25 -1 0.75 0 5.0	7.606e-01 1.132e+00 -1.013e-03 6.365e-06 -1.305e-08 7.951e-12
3 6 12 1123 1 -8.875 0.0 -16.0 0.25 -1 0.75 0 5.0	3.569e-01 1.055e+00 -2.614e-04 4.563e-06 -1.318e-08 1.018e-11
3 8 12 1124 1 -9.125 0.0 -16.0 0.25 -1 0.75 0 5.0	1.767e+00 1.125e+00 -1.473e-03 1.158e-05 -2.872e-08 2.164e-11
3 10 12 1125 1 -9.375 0.0 -16.0 0.25 -1 0.75 0 5.0	3.195e+00 1.116e+00 -2.180e-03 1.837e-05 -4.776e-08 3.803e-11
3 12 12 1126 1 -9.625 0.0 -16.0 0.25 -1 0.75 0 5.0	1.752e-01 1.070e+00 -2.857e-04 4.232e-06 -1.170e-08 8.670e-12
3 14 12 1127 1 -9.875 0.0 -16.0 0.25 -1 0.75 0 5.0	1.020e+00 1.132e+00 -1.091e-03 7.100e-06 -1.552e-08 1.029e-11
3 16 12 1128 1 -10.125 0.0 -16.0 0.25 -1 0.75 0 5.0	2.705e-01 1.072e+00 -3.212e-04 3.767e-06 -9.530e-09 6.495e-12
3 18 12 1129 1 -10.375 0.0 -16.0 0.25 -1 0.75 0 5.0	5.640e-01 1.129e+00 -8.878e-04 6.312e-06 -1.529e-08 1.085e-11
3 20 12 1130 1 -10.625 0.0 -16.0 0.25 -1 0.75 0 5.0	4.417e-01 1.131e+00 -6.607e-04 2.880e-06 -5.542e-09 3.322e-12
